name,neighbourhood_cleansed,longitude,latitude,host_location,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,license,property_type,room_type,accommodates,bathrooms_text,price,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
Home in Taitou-ku · ★4.93 · 2 bedrooms · 3 beds · 1 bath,Taito Ku,139.79137,35.72951,"Taito, Japan",23595333,2014-11-11,100.0,100.0,0.0,2,t,Hotels and Inns Business Act,Entire home,Entire home/apt,6,1 bath,173.85,0,4,5,349,4.93,4.87,3.37
Rental unit in Shibuya-ku · ★4.52 · 1 bedroom · 1 bed · 1 bath,Shibuya Ku,139.6753,35.68068,"Shibuya City, Japan",25370510,2014-12-29,100.0,99.0,0.0,6,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,96.73,0,0,0,286,4.52,4.66,2.63
Rental unit in Shibuya-ku · ★4.60 · 1 bedroom · 2 beds · 1 bath,Shibuya Ku,139.67511,35.67933,"Shibuya City, Japan",25370510,2014-12-29,100.0,99.0,0.0,6,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,70.41,8,25,31,239,4.6,4.6,2.27
Rental unit in Nakano-ku · ★4.80 · 1 bedroom · 1 bed · 1 bath,Nakano Ku,139.63132,35.73496,"Nakano, Japan",17736560,2014-07-06,100.0,100.0,0.0,10,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,60.79,20,50,80,85,4.8,4.78,0.79
Home in Koto-ku · ★4.90 · 1 bedroom · 2 beds · 1 bath,Koto Ku,139.81859,35.68162,"Tokyo, Japan",21769906,2014-09-25,100.0,100.0,0.0,3,t,Hotels and Inns Business Act,Entire home,Entire home/apt,2,1 bath,39.22,0,21,28,234,4.9,4.57,2.16
Rental unit in 新宿区 · ★4.87 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70276,35.69872,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,44.39,25,48,72,165,4.87,4.89,1.52
Rental unit in 足立区 · ★4.30 · 1 bedroom · 3 beds · 1 bath,Adachi Ku,139.79102,35.79124,"Tokyo, Japan",9360394,2013-10-11,100.0,67.0,0.0,4,t,M1300,Entire rental unit,Entire home/apt,4,1 bath,86.75,21,51,81,10,4.3,4.5,0.09
Rental unit in 足立区 · ★4.20 · 1 bedroom · 3 beds · 1 bath,Adachi Ku,139.79204721255772,35.791368746081226,"Tokyo, Japan",9360394,2013-10-11,100.0,67.0,0.0,4,t,M1300,Entire rental unit,Entire home/apt,4,1 bath,86.75,3,33,63,5,4.2,4.2,0.08
Rental unit in 足立区 · ★4.71 · 1 bedroom · 1 bed · 1 bath,Adachi Ku,139.79285,35.79166,"Tokyo, Japan",9360394,2013-10-11,100.0,67.0,0.0,4,t,M1300,Entire rental unit,Entire home/apt,1,1 bath,44.98,21,51,81,7,4.71,4.29,0.07
Home in Shibuya · ★4.74 · 2 bedrooms · 4 beds · 1.5 baths,Shibuya Ku,139.72175,35.65174,"Tokyo, Japan",10415965,2013-12-03,100.0,100.0,1.0,2,t,M1300,Entire home,Entire home/apt,6,1.5 baths,344.22,12,42,72,143,4.74,4.97,1.23
Rental unit in Itabashi-ku Narimasu · ★4.77 · 1 bedroom · 1 bed · 1 bath,Itabashi Ku,139.63309,35.78156,"Itabashi, Japan",16241464,2014-06-01,100.0,98.0,0.0,2,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,42.09,16,16,16,111,4.77,4.62,0.99
Home in Bunkyō-ku · ★4.80 · 2 bedrooms · 5 beds · 1 bath,Bunkyo Ku,139.76323,35.72129,"Tokyo, Japan",25911199,2015-01-10,100.0,97.0,0.0,1,t,M1300,Entire home,Entire home/apt,7,1 bath,274.5,15,45,64,56,4.8,4.76,0.52
Rental unit in Shibuya-ku · ★4.47 · Studio · 1 bed · 1 bath,Shibuya Ku,139.68741,35.66339,"Tokyo, Japan",24477517,2014-12-04,99.14269266195886,97.12430146503549,1.0,4,t,M1300,Entire rental unit,Entire home/apt,4,1 bath,60.06,0,0,0,228,4.47,4.33,2.14
Rental unit in Nakano-ku · ★4.84 · 1 bedroom · 1 bed · 1 bath,Nakano Ku,139.63128,35.73404,"Nakano, Japan",17736560,2014-07-06,100.0,100.0,0.0,10,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,55.83,0,0,0,104,4.84,4.72,0.97
Home in Bunkyō-ku · ★4.88 · 1 bedroom · 2 beds · 2 shared baths,Bunkyo Ku,139.76271,35.72257,"Bunkyo City, Japan",4839990,2013-01-25,100.0,94.0,0.0,3,t,M1300,Private room in home,Private room,1,2 shared baths,92.79,1,15,15,17,4.88,4.88,0.16
Rental unit in Shibuya-ku · ★4.52 · Studio · 1 bed · 1 bath,Shibuya Ku,139.68741,35.66339,"Tokyo, Japan",24477517,2014-12-04,99.14269266195886,97.12430146503549,1.0,4,t,M1300,Entire rental unit,Entire home/apt,4,1 bath,56.51,0,0,0,195,4.52,4.29,1.83
Rental unit in Nakano-ku · ★4.80 · 1 bedroom · 1 bed · 1 bath,Nakano Ku,139.63139,35.73445,"Nakano, Japan",17736560,2014-07-06,100.0,100.0,0.0,10,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,52.1,20,50,80,61,4.8,4.61,0.57
Rental unit in Nakano-ku · ★4.84 · 1 bedroom · 1 bed · 1 bath,Nerima Ku,139.63159,35.73588,"Nakano, Japan",17736560,2014-07-06,100.0,100.0,0.0,10,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,60.79,24,54,84,133,4.84,4.59,1.23
Rental unit in 板橋区成増 · ★4.66 · 1 bedroom · 2 beds · 1 bath,Itabashi Ku,139.63338,35.77932,"Itabashi, Japan",16241464,2014-06-01,100.0,98.0,0.0,2,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,42.09,1,3,3,65,4.66,4.63,0.65
Rental unit in 台東区 · ★4.75 · 1 bedroom · 4 beds · 1 bath,Taito Ku,139.80049,35.7223,"Taito, Japan",16973429,2014-06-18,100.0,99.0,0.0,2,t,M1300,Entire rental unit,Entire home/apt,4,1 bath,79.3,0,0,0,141,4.75,4.61,1.23
Rental unit in Meguro-ku · ★4.59 · 2 bedrooms · 2 beds · 1 bath,Meguro Ku,139.6679,35.61728,"Meguro, Japan",17018818,2014-06-19,100.0,91.0,1.0,1,t,M5400,Entire rental unit,Entire home/apt,2,1 bath,41.48,0,0,0,147,4.59,4.41,1.28
Rental unit in Shinjuku-ku · ★4.94 · 1 bedroom · 4 beds · 1 bath,Shinjuku Ku,139.70823,35.69346,"Shinjuku City, Japan",28035085,2015-02-20,99.14269266195886,97.12430146503549,1.0,6,t,M1300,Entire rental unit,Entire home/apt,5,1 bath,183.28,0,0,0,284,4.94,4.82,2.66
Home in Shinjuku · ★4.68 · 1 bedroom · 1 bed · 1.5 baths,Shinjuku Ku,139.69824,35.6989,"Tokyo, Japan",17190614,2014-06-24,99.14269266195886,97.12430146503549,1.0,1,t,M1300,Entire home,Entire home/apt,2,1.5 baths,183.28,0,0,0,157,4.68,4.81,1.36
Rental unit in Suginami-ku · ★4.87 · 1 bedroom · 2 beds · 1 bath,Suginami Ku,139.60022,35.70055,"Suginami, Japan",28045851,2015-02-20,100.0,100.0,0.0,1,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,56.45,3,27,46,63,4.87,4.92,0.65
Rental unit in Edogawa · ★4.83 · 1 bedroom · 2 beds · 1.5 baths,Edogawa Ku,139.85971,35.68374,"Edogawa, Japan",13018876,2014-03-11,100.0,97.0,0.0,2,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,3,1.5 baths,49.46,7,10,16,118,4.83,4.64,1.04
Rental unit in Arakawa-ku · ★4.86 · 1 bedroom · 2 beds · 1.5 baths,Arakawa Ku,139.78201,35.72672,"Arakawa, Japan",17694529,2014-07-06,100.0,97.0,0.0,9,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1.5 baths,17.69,0,0,0,286,4.86,4.63,2.6
Rental unit in Machida · ★4.87 · 1 bedroom · 2 beds · 1 bath,Machida Shi,139.48023,35.58911,"Tokyo, Japan",11583876,2014-01-23,100.0,100.0,0.0,4,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,33.37,20,50,80,124,4.87,4.69,1.09
Home in Toshima-ku · ★4.85 · 3 bedrooms · 6 beds · 1 bath,Toshima Ku,139.73408415595273,35.72784292965493,"Shibuya, Japan",15514130,2014-05-14,100.0,100.0,0.0,1,t,M1300,Entire home,Entire home/apt,6,1 bath,187.01,0,0,0,212,4.85,4.85,2.08
Rental unit in Suginami-ku · ★4.43 · Studio · 2 beds · 1.5 baths,Suginami Ku,139.63712,35.70459,,28340699,2015-02-25,97.0,100.0,1.0,6,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,4,1.5 baths,68.84,24,54,84,155,4.43,4.6,1.45
Rental unit in Tokyo-to Suginami-ku · ★4.42 · Studio · 1 bed · 1 bath,Suginami Ku,139.63583,35.70656,,28340699,2015-02-25,97.0,100.0,1.0,6,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,47.49,0,0,0,160,4.42,4.51,1.5
